name,expiration,type,strike,implied_vol
SPY190215C00288000,2019-02-15,C,288.0,0.15191401362114246
SPY190215C00289000,2019-02-15,C,289.0,0.14361290065833673
SPY190215P00290000,2019-02-15,P,290.0,0.270879518418085
SPY190215C00292000,2019-02-15,C,292.0,0.17808676375757398
SPY190215C00295000,2019-02-15,C,295.0,0.18663971015559438
SPY190215P00295000,2019-02-15,P,295.0,0.27755977661629033
SPY190215C00315000,2019-02-15,C,315.0,0.3224352985391836
SPY190215C00320000,2019-02-15,C,320.0,0.3540768708719317
SPY190215P00320000,2019-02-15,P,320.0,0.48912079829090044
SPY190315P00216000,2019-03-15,P,216.0,0.3298872998913231
SPY190315P00219000,2019-03-15,P,219.0,0.3234498763023435
SPY190315P00220000,2019-03-15,P,220.0,0.3148700270201544
SPY190315P00222000,2019-03-15,P,222.0,0.3120682977349557
SPY190315P00223000,2019-03-15,P,223.0,0.30350579020312374
SPY190315P00225000,2019-03-15,P,225.0,0.2975262278486091
SPY190315P00226000,2019-03-15,P,226.0,0.29450334856272353
SPY190315P00227000,2019-03-15,P,227.0,0.2926510984025648
SPY190315P00228000,2019-03-15,P,228.0,0.28606011129706105
SPY190315P00229000,2019-03-15,P,229.0,0.2866322427149624
SPY190315C00230000,2019-03-15,C,230.0,0.32262427990253156
SPY190315P00230000,2019-03-15,P,230.0,0.27937261039948524
SPY190315P00231000,2019-03-15,P,231.0,0.27726067301562374
SPY190315P00232000,2019-03-15,P,232.0,0.2719794880703587
SPY190315P00233000,2019-03-15,P,233.0,0.2690381467189935
SPY190315P00234000,2019-03-15,P,234.0,0.2655765772475611
SPY190315C00235000,2019-03-15,C,235.0,0.22735218901734253
SPY190315P00235000,2019-03-15,P,235.0,0.26189232116465067
SPY190315P00236000,2019-03-15,P,236.0,0.25869780489245947
SPY190315P00237000,2019-03-15,P,237.0,0.25600895552379094
SPY190315P00238000,2019-03-15,P,238.0,0.2519588397287042
SPY190315C00239000,2019-03-15,C,239.0,0.25748373306903644
SPY190315P00239000,2019-03-15,P,239.0,0.2487097127968088
SPY190315C00240000,2019-03-15,C,240.0,0.23636243382438285
SPY190315P00240000,2019-03-15,P,240.0,0.24457666880029547
SPY190315P00241000,2019-03-15,P,241.0,0.24128180940437804
SPY190315C00242000,2019-03-15,C,242.0,0.2227803819691787
SPY190315P00242000,2019-03-15,P,242.0,0.23742037965818438
SPY190315C00243000,2019-03-15,C,243.0,0.2493386256420399
SPY190315P00243000,2019-03-15,P,243.0,0.23413088620471223
SPY190315P00244000,2019-03-15,P,244.0,0.23094517495626074
SPY190315C00245000,2019-03-15,C,245.0,0.22824278877824164
SPY190315P00245000,2019-03-15,P,245.0,0.2271576732625742
SPY190315C00246000,2019-03-15,C,246.0,0.21666697180975986
SPY190315P00246000,2019-03-15,P,246.0,0.22385403323356454
SPY190315C00247000,2019-03-15,C,247.0,0.20501292431292756
SPY190315P00247000,2019-03-15,P,247.0,0.22003572615211273
SPY190315C00248000,2019-03-15,C,248.0,0.20221117845515615
SPY190315P00248000,2019-03-15,P,248.0,0.21721811855540557
SPY190315P00249000,2019-03-15,P,249.0,0.21332578585885675
SPY190315C00250000,2019-03-15,C,250.0,0.19929795387463692
SPY190315P00250000,2019-03-15,P,250.0,0.21027402804635675
SPY190315C00251000,2019-03-15,C,251.0,0.19538619634135604
SPY190315P00251000,2019-03-15,P,251.0,0.20684384933822905
SPY190315C00252000,2019-03-15,C,252.0,0.21840955290343145
SPY190315P00252000,2019-03-15,P,252.0,0.20354569720490204
SPY190315P00253000,2019-03-15,P,253.0,0.20047230488808868
SPY190315C00254000,2019-03-15,C,254.0,0.19070778530483687
SPY190315P00254000,2019-03-15,P,254.0,0.19698295446917835
SPY190315C00255000,2019-03-15,C,255.0,0.18263030235114916
SPY190315P00255000,2019-03-15,P,255.0,0.1938074629020203
SPY190315C00256000,2019-03-15,C,256.0,0.1841575959149529
SPY190315P00256000,2019-03-15,P,256.0,0.19133359270022654
SPY190315C00257000,2019-03-15,C,257.0,0.17389593831718425
SPY190315P00257000,2019-03-15,P,257.0,0.18705476580373467
SPY190315C00258000,2019-03-15,C,258.0,0.1777208796547502
SPY190315P00258000,2019-03-15,P,258.0,0.18444777144800367
SPY190315C00259000,2019-03-15,C,259.0,0.1795022993746316
SPY190315P00259000,2019-03-15,P,259.0,0.1809874946808876
SPY190315C00260000,2019-03-15,C,260.0,0.1702547805083682
SPY190315P00260000,2019-03-15,P,260.0,0.17809086138635036
SPY190315C00261000,2019-03-15,C,261.0,0.15413590404383667
SPY190315P00261000,2019-03-15,P,261.0,0.17537798722991554
SPY190315C00262000,2019-03-15,C,262.0,0.1599738542990916
SPY190315P00262000,2019-03-15,P,262.0,0.17190188093258596
SPY190315C00263000,2019-03-15,C,263.0,0.1580963842094402
SPY190315P00263000,2019-03-15,P,263.0,0.16913822544810106
SPY190315C00264000,2019-03-15,C,264.0,0.1505485763940055
SPY190315P00264000,2019-03-15,P,264.0,0.166483864454967
SPY190315C00265000,2019-03-15,C,265.0,0.15280866257065093
SPY190315P00265000,2019-03-15,P,265.0,0.16372681883594875
SPY190315C00266000,2019-03-15,C,266.0,0.14605613620689764
SPY190315P00266000,2019-03-15,P,266.0,0.16130704709026208
SPY190315C00267000,2019-03-15,C,267.0,0.14434518106758137
SPY190315P00267000,2019-03-15,P,267.0,0.15885234793738637
SPY190315C00268000,2019-03-15,C,268.0,0.14659765736221353
SPY190315P00268000,2019-03-15,P,268.0,0.15640316107084073
SPY190315C00269000,2019-03-15,C,269.0,0.1395301501769239
SPY190315P00269000,2019-03-15,P,269.0,0.15405207338845334
SPY190315C00270000,2019-03-15,C,270.0,0.13776912103833444
SPY190315P00270000,2019-03-15,P,270.0,0.1522535070433946
SPY190315C00271000,2019-03-15,C,271.0,0.1356402809357704
SPY190315P00271000,2019-03-15,P,271.0,0.15046413597243521
SPY190315C00272000,2019-03-15,C,272.0,0.13226115185281503
SPY190315P00272000,2019-03-15,P,272.0,0.1486951554827678
SPY190315C00273000,2019-03-15,C,273.0,0.1300222367581809
SPY190315P00273000,2019-03-15,P,273.0,0.14713747117220594
SPY190315C00274000,2019-03-15,C,274.0,0.12726097155714888
SPY190315P00274000,2019-03-15,P,274.0,0.14630987211261565
SPY190315C00275000,2019-03-15,C,275.0,0.12531296371498987
SPY190315P00275000,2019-03-15,P,275.0,0.14527983067895445
SPY190315C00276000,2019-03-15,C,276.0,0.12283753251175747
SPY190315P00276000,2019-03-15,P,276.0,0.14738384110238545
SPY190315C00277000,2019-03-15,C,277.0,0.12082013327752233
SPY190315P00277000,2019-03-15,P,277.0,0.1408577819004693
SPY190315C00278000,2019-03-15,C,278.0,0.11911110499935687
SPY190315P00278000,2019-03-15,P,278.0,0.14531229463074824
SPY190315C00279000,2019-03-15,C,279.0,0.11721956150611039
SPY190315P00279000,2019-03-15,P,279.0,0.14917635856686956
SPY190315C00280000,2019-03-15,C,280.0,0.11594249159478776
SPY190315P00280000,2019-03-15,P,280.0,0.14562954378250004
SPY190315C00281000,2019-03-15,C,281.0,0.11454295624247597
SPY190315P00281000,2019-03-15,P,281.0,0.14171360093919214
SPY190315C00282000,2019-03-15,C,282.0,0.11325154463043603
SPY190315C00283000,2019-03-15,C,283.0,0.1128300986326564
SPY190315P00283000,2019-03-15,P,283.0,0.1589223734862969
SPY190315C00284000,2019-03-15,C,284.0,0.11202337796730763
SPY190315P00284000,2019-03-15,P,284.0,0.14899452628991794
SPY190315C00285000,2019-03-15,C,285.0,0.11120614493289567
SPY190315P00285000,2019-03-15,P,285.0,0.15930830670134796
SPY190315C00286000,2019-03-15,C,286.0,0.11112863145520925
SPY190315C00287000,2019-03-15,C,287.0,0.11094904311782564
SPY190315C00288000,2019-03-15,C,288.0,0.11073977136246078
SPY190315C00289000,2019-03-15,C,289.0,0.1109923852983948
SPY190315P00289000,2019-03-15,P,289.0,0.16936022912144966
SPY190315C00290000,2019-03-15,C,290.0,0.11165327428247007
SPY190315P00290000,2019-03-15,P,290.0,0.20873458794010874
SPY190315C00291000,2019-03-15,C,291.0,0.11259924115427315
SPY190315C00292000,2019-03-15,C,292.0,0.1129561251081774
SPY190315P00292000,2019-03-15,P,292.0,0.20004737102771963
SPY190315C00293000,2019-03-15,C,293.0,0.11505908673376683
SPY190315C00295000,2019-03-15,C,295.0,0.11651194004146644
SPY190315P00295000,2019-03-15,P,295.0,0.2168801373532971
SPY190315C00300000,2019-03-15,C,300.0,0.12795420253978057
SPY190315C00305000,2019-03-15,C,305.0,0.13398430231587052
SPY190315C00310000,2019-03-15,C,310.0,0.15140132221114605
SPY190418P00216000,2019-04-18,P,216.0,0.28132639882509664
SPY190418P00217000,2019-04-18,P,217.0,0.2812189580229542
SPY190418P00219000,2019-04-18,P,219.0,0.27571750114031157
SPY190418P00220000,2019-04-18,P,220.0,0.2734526587874078
SPY190418P00221000,2019-04-18,P,221.0,0.27106354608560157
SPY190418P00222000,2019-04-18,P,222.0,0.268558943667985
SPY190418P00223000,2019-04-18,P,223.0,0.26594653458851375
SPY190418P00224000,2019-04-18,P,224.0,0.26426572628948086
SPY190418P00225000,2019-04-18,P,225.0,0.2605794701734772
SPY190418P00226000,2019-04-18,P,226.0,0.25802657427385334
SPY190418P00227000,2019-04-18,P,227.0,0.25597161344250147
SPY190418P00228000,2019-04-18,P,228.0,0.2532576173162826
SPY190418P00229000,2019-04-18,P,229.0,0.2517524460697418
SPY190418C00230000,2019-04-18,C,230.0,0.19810199737548828
SPY190418P00230000,2019-04-18,P,230.0,0.24859656458315643
SPY190418P00231000,2019-04-18,P,231.0,0.2466001656964002
SPY190418P00232000,2019-04-18,P,232.0,0.2429311781588113
SPY190418P00233000,2019-04-18,P,233.0,0.2424240234257925
SPY190418P00234000,2019-04-18,P,234.0,0.23802251157248416
SPY190418P00235000,2019-04-18,P,235.0,0.2366091955043471
SPY190418P00236000,2019-04-18,P,236.0,0.23374146512707175
SPY190418P00237000,2019-04-18,P,237.0,0.23123471633247708
SPY190418P00238000,2019-04-18,P,238.0,0.2272370160388215
SPY190418P00239000,2019-04-18,P,239.0,0.22841118180843265
SPY190418P00240000,2019-04-18,P,240.0,0.2236280294940295
SPY190418P00241000,2019-04-18,P,241.0,0.21993552937227137
SPY190418P00242000,2019-04-18,P,242.0,0.2214280174821234
SPY190418P00243000,2019-04-18,P,243.0,0.2169230892835066
SPY190418P00244000,2019-04-18,P,244.0,0.21593392657501922
SPY190418P00245000,2019-04-18,P,245.0,0.2115168290979722
SPY190418P00246000,2019-04-18,P,246.0,0.20944101426302625
SPY190418P00247000,2019-04-18,P,247.0,0.2065335271303611
SPY190418P00248000,2019-04-18,P,248.0,0.2066682610670319
SPY190418P00249000,2019-04-18,P,249.0,0.20206645321663078
SPY190418C00250000,2019-04-18,C,250.0,0.168319407021603
SPY190418P00250000,2019-04-18,P,250.0,0.19972709743568048
SPY190418P00251000,2019-04-18,P,251.0,0.19925943116092926
SPY190418P00252000,2019-04-18,P,252.0,0.19469116045081097
SPY190418P00253000,2019-04-18,P,253.0,0.19259563797270246
SPY190418P00254000,2019-04-18,P,254.0,0.19000900980761593
SPY190418P00255000,2019-04-18,P,255.0,0.1879099019043281
SPY190418P00256000,2019-04-18,P,256.0,0.1856863041363104
SPY190418C00257000,2019-04-18,C,257.0,0.14762643048220583
SPY190418P00257000,2019-04-18,P,257.0,0.18355124441863935
SPY190418P00258000,2019-04-18,P,258.0,0.18194707153398362
SPY190418P00259000,2019-04-18,P,259.0,0.17763048791519517
SPY190418C00260000,2019-04-18,C,260.0,0.1486221542748649
SPY190418P00260000,2019-04-18,P,260.0,0.17652668916355924
SPY190418C00261000,2019-04-18,C,261.0,0.13939978216615173
SPY190418P00261000,2019-04-18,P,261.0,0.17533069376445487
SPY190418C00262000,2019-04-18,C,262.0,0.14051489817821766
SPY190418P00262000,2019-04-18,P,262.0,0.17245786574185656
SPY190418C00263000,2019-04-18,C,263.0,0.14476057818478635
SPY190418P00263000,2019-04-18,P,263.0,0.17127574862116743
SPY190418P00264000,2019-04-18,P,264.0,0.16887224543734888
SPY190418C00265000,2019-04-18,C,265.0,0.13930426839062626
SPY190418P00265000,2019-04-18,P,265.0,0.1659703681536038
SPY190418C00266000,2019-04-18,C,266.0,0.13701354756074793
SPY190418P00266000,2019-04-18,P,266.0,0.16388179701002661
SPY190418C00267000,2019-04-18,C,267.0,0.13641568400975687
SPY190418P00267000,2019-04-18,P,267.0,0.16224816022321698
SPY190418C00268000,2019-04-18,C,268.0,0.13520112732792144
SPY190418P00268000,2019-04-18,P,268.0,0.16042783742060746
SPY190418C00269000,2019-04-18,C,269.0,0.13374824962957435
SPY190418P00269000,2019-04-18,P,269.0,0.1582468257230871
SPY190418C00270000,2019-04-18,C,270.0,0.1311254013529824
SPY190418P00270000,2019-04-18,P,270.0,0.1563183303989108
SPY190418C00271000,2019-04-18,C,271.0,0.12932551791295982
SPY190418P00271000,2019-04-18,P,271.0,0.15481852509481522
SPY190418C00272000,2019-04-18,C,272.0,0.12772451581247626
SPY190418P00272000,2019-04-18,P,272.0,0.15269327041743053
SPY190418C00273000,2019-04-18,C,273.0,0.12595034011489595
SPY190418P00273000,2019-04-18,P,273.0,0.15190625739524433
SPY190418C00274000,2019-04-18,C,274.0,0.12422406764896325
SPY190418P00274000,2019-04-18,P,274.0,0.15073662828606413
SPY190418C00275000,2019-04-18,C,275.0,0.12282794698729844
SPY190418P00275000,2019-04-18,P,275.0,0.1481464878677407
SPY190418C00276000,2019-04-18,C,276.0,0.12080398666889161
SPY190418P00276000,2019-04-18,P,276.0,0.14990256570489205
SPY190418C00277000,2019-04-18,C,277.0,0.11929305922954589
SPY190418P00277000,2019-04-18,P,277.0,0.1442595698949321
SPY190418C00278000,2019-04-18,C,278.0,0.11827662777717766
SPY190418P00278000,2019-04-18,P,278.0,0.149489510089845
SPY190418C00279000,2019-04-18,C,279.0,0.11649886665441801
SPY190418P00279000,2019-04-18,P,279.0,0.14544439437749135
SPY190418C00280000,2019-04-18,C,280.0,0.11576322033582136
SPY190418P00280000,2019-04-18,P,280.0,0.14651419256654236
SPY190418C00281000,2019-04-18,C,281.0,0.11447732101011154
SPY190418P00281000,2019-04-18,P,281.0,0.14180679760320716
SPY190418C00282000,2019-04-18,C,282.0,0.11246448282695487
SPY190418C00283000,2019-04-18,C,283.0,0.112595460603914
SPY190418C00284000,2019-04-18,C,284.0,0.11145753933645575
SPY190418P00284000,2019-04-18,P,284.0,0.14863364226982723
SPY190418C00285000,2019-04-18,C,285.0,0.10988344012014091
SPY190418P00285000,2019-04-18,P,285.0,0.15160125234852667
SPY190418C00286000,2019-04-18,C,286.0,0.11003834512227637
SPY190418P00286000,2019-04-18,P,286.0,0.14739628033259947
SPY190418C00287000,2019-04-18,C,287.0,0.10888913098503561
SPY190418C00288000,2019-04-18,C,288.0,0.1072702505399504
SPY190418C00289000,2019-04-18,C,289.0,0.10612576818832047
SPY190418C00290000,2019-04-18,C,290.0,0.10689775657165995
SPY190418P00290000,2019-04-18,P,290.0,0.15789911265263473
SPY190418C00291000,2019-04-18,C,291.0,0.10624911169261883
SPY190418C00292000,2019-04-18,C,292.0,0.10639650437533094
SPY190418C00293000,2019-04-18,C,293.0,0.1059596922696399
SPY190418C00295000,2019-04-18,C,295.0,0.10678382785728825
SPY190418C00296000,2019-04-18,C,296.0,0.10731100731188684
SPY190418C00297000,2019-04-18,C,297.0,0.10846461176567371
SPY190418C00298000,2019-04-18,C,298.0,0.1078549431413031
SPY190418C00300000,2019-04-18,C,300.0,0.11016710335031495
SPY190418P00300000,2019-04-18,P,300.0,0.20612678869301096
SPY190418C00305000,2019-04-18,C,305.0,0.116671235360148
SPY190418C00315000,2019-04-18,C,315.0,0.1295311310712029
